t,v,isi,mod,g
9.585,0.429,,v,8
16.368,0.335,6.782999999999998,v,8
23.729,0.357,7.361000000000001,v,8
30.93,0.373,7.2010000000000005,v,8
40.303,0.439,9.372999999999998,v,8
46.804,0.402,6.501000000000005,v,8
55.448,0.382,8.643999999999998,v,8
62.401,0.325,6.953000000000003,v,8
68.91,0.4,6.508999999999993,v,8
73.463,0.303,4.552999999999997,v,4
77.697,0.349,4.234000000000009,v,4
86.385,0.285,8.688000000000002,v,4
90.47,0.288,4.084999999999994,v,4
95.114,0.308,4.6440000000000055,v,4
99.548,0.282,4.4339999999999975,v,4
104.056,0.382,4.507999999999996,v,4
105.844,0.338,1.7879999999999967,v,2
107.955,0.307,2.111000000000004,v,2
109.636,0.514,1.6809999999999974,v,2
111.487,0.287,1.850999999999999,v,2
113.394,0.316,1.9070000000000107,v,2
115.732,0.29,2.337999999999994,v,2
117.612,0.434,1.8799999999999955,v,2
143.557,0.622,25.944999999999993,a,8
151.932,0.402,8.375,a,8
160.933,0.393,9.001000000000005,a,8
168.975,0.471,8.042000000000002,a,8
177.819,0.411,8.843999999999994,a,8
184.975,0.431,7.156000000000006,a,8
191.48,0.519,6.5049999999999955,a,8
195.884,0.37,4.403999999999996,a,4
199.594,0.412,3.710000000000008,a,4
203.637,0.385,4.043000000000006,a,4
207.373,0.513,3.73599999999999,a,4
211.929,0.389,4.556000000000012,a,4
216.615,0.439,4.686000000000007,a,4
219.947,0.443,3.3319999999999936,a,4
224.455,0.698,4.50800000000001,a,4
226.741,0.473,2.2860000000000014,a,2
228.837,0.377,2.095999999999975,a,2
230.642,0.372,1.8050000000000068,a,2
232.313,0.357,1.6709999999999923,a,2
234.108,0.378,1.795000000000016,a,2
235.799,0.391,1.6910000000000025,a,2
238.05,0.396,2.2510000000000048,a,2
