t	v	isi	mod	g
9.585	0.429		v	8
16.368	0.335	6.782	v	8
23.729	0.357	7.361	v	8
30.93	0.373	7.201	v	8
40.303	0.439	9.372	v	8
46.804	0.402	6.501	v	8
55.448	0.382	8.643	v	8
62.401	0.325	6.953	v	8
68.91	0.4	6.508	v	8
73.463	0.303	4.552	v	4
77.697	0.349	4.234	v	4
86.385	0.285	8.688	v	4
90.47	0.288	4.084	v	4
95.114	0.308	4.644	v	4
99.548	0.282	4.433	v	4
104.056	0.382	4.507	v	4
105.844	0.338	1.787	v	2
107.955	0.307	2.111	v	2
109.636	0.514	1.680	v	2
111.487	0.287	1.850	v	2
113.394	0.316	1.907	v	2
115.732	0.29	2.337	v	2
117.612	0.434	1.879	v	2
143.557	0.622	25.94	a	8
151.932	0.402	8.375	a	8
160.933	0.393	9.001	a	8
168.975	0.471	8.042	a	8
177.819	0.411	8.843	a	8
184.975	0.431	7.156	a	8
191.48	0.519	6.504	a	8
195.884	0.37	4.403	a	4
199.594	0.412	3.710	a	4
203.637	0.385	4.043	a	4
207.373	0.513	3.735	a	4
211.929	0.389	4.556	a	4
216.615	0.439	4.686	a	4
219.947	0.443	3.331	a	4
224.455	0.698	4.508	a	4
226.741	0.473	2.286	a	2
228.837	0.377	2.095	a	2
230.642	0.372	1.805	a	2
232.313	0.357	1.670	a	2
234.108	0.378	1.795	a	2
235.799	0.391	1.691	a	2
238.05	0.396	2.251	a	2
